id,is_correct,errors,n_errors,pred,gold
0,True,,0,SELECT count(*) FROM singer,SELECT count(*) FROM singer
1,True,,0,SELECT count(*) FROM singer,SELECT count(*) FROM singer
2,True,,0,"SELECT name , country , age FROM singer ORDER BY age DESC","SELECT name , country , age FROM singer ORDER BY age DESC"
3,True,,0,"SELECT name , country , age FROM singer ORDER BY age DESC","SELECT name , country , age FROM singer ORDER BY age DESC"
4,True,,0,"SELECT avg(age) , min(age) , max(age) FROM singer WHERE country = 'France'","SELECT avg(age) , min(age) , max(age) FROM singer WHERE country = 'France'"
5,True,,0,"SELECT avg(age) , min(age) , max(age) FROM singer WHERE country = 'France'","SELECT avg(age) , min(age) , max(age) FROM singer WHERE country = 'France'"
6,False,hallucinated_column|extra_join,2,"SELECT T1.song_name , T2.song_release_year FROM singer AS T1 JOIN singer AS T2 ON T1.Singer_id = T2.Singer_id ORDER BY T1.age LIMIT 1","SELECT song_name , song_release_year FROM singer ORDER BY age LIMIT 1"
7,True,,0,"SELECT song_name , song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song_name , song_release_year FROM singer ORDER BY age LIMIT 1"
8,True,,0,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20
9,True,,0,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20
10,False,hallucinated_table|hallucinated_column|extra_join,3,"SELECT count(*) , T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Country","SELECT country , count(*) FROM singer GROUP BY country"
11,True,,0,"SELECT count(*) , country FROM singer GROUP BY country","SELECT country , count(*) FROM singer GROUP BY country"
12,False,hallucinated_table|hallucinated_column|extra_join,3,SELECT T1.song_name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.singer_id = T2.singer_id JOIN concert AS T3 ON T2.concert_id = T3.concert_id WHERE T1.age > (SELECT avg(age) FROM singer),SELECT song_name FROM singer WHERE age > (SELECT avg(age) FROM singer)
13,False,hallucinated_column|extra_join,2,SELECT T1.song_name FROM singer AS T1 JOIN singer AS T2 ON T1.Singer_id = T2.Singer_id WHERE T1.age > (SELECT avg(age) FROM singer),SELECT song_name FROM singer WHERE age > (SELECT avg(age) FROM singer)
14,True,,0,"SELECT LOCATION , NAME FROM stadium WHERE Capacity BETWEEN 5000 AND 10000","SELECT LOCATION , name FROM stadium WHERE capacity BETWEEN 5000 AND 10000"
15,True,,0,"SELECT LOCATION , NAME FROM stadium WHERE Capacity BETWEEN 5000 AND 10000","SELECT LOCATION , name FROM stadium WHERE capacity BETWEEN 5000 AND 10000"
16,False,missing_select_column|wrong_aggregation,2,"SELECT max(capacity) , avg(capacity) FROM stadium","select max(capacity), average from stadium"
17,True,,0,"SELECT avg(capacity) , max(capacity) FROM stadium","select avg(capacity) , max(capacity) from stadium"
18,True,,0,"SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1"
19,True,,0,"SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1"
20,True,,0,SELECT count(*) FROM concert WHERE YEAR = 2014 OR YEAR = 2015,SELECT count(*) FROM concert WHERE YEAR = 2014 OR YEAR = 2015
21,True,,0,SELECT count(*) FROM concert WHERE YEAR = 2014 OR YEAR = 2015,SELECT count(*) FROM concert WHERE YEAR = 2014 OR YEAR = 2015
22,True,,0,"SELECT T1.Name , COUNT(*) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Stadium_ID","SELECT T2.name , count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.stadium_id"
23,False,wrong_group_by_column,1,"SELECT count(*) , T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Name","SELECT T2.name , count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.stadium_id"
24,False,wrong_join_count,1,"SELECT T3.name , T3.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id JOIN stadium AS T3 ON T1.stadium_id = T3.stadium_id WHERE T1.year >= 2014 GROUP BY T1.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT T2.name , T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year >= 2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1"
